Cross-validation will be performed.  Folds=10.
Random seed: 18526
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
****                   ADMIXTURE Version 1.23                   ****
****                    Copyright 2008-2013                     ****
****          David Alexander, John  Novembre, Ken Lange        ****
****                   Please cite our paper!                   ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Size of G: 38x113855
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.356	Loglikelihood: -4.86503e+06	(delta): 1.3296e+06
25 (QN/Block) 	Elapsed: 1.367	Loglikelihood: -3.87602e+06	(delta): 6.34148
26 (QN/Block) 	Elapsed: 1.371	Loglikelihood: -3.87601e+06	(delta): 4.77528
27 (QN/Block) 	Elapsed: 1.391	Loglikelihood: -3.87601e+06	(delta): 7.3387
28 (QN/Block) 	Elapsed: 1.369	Loglikelihood: -3.876e+06	(delta): 7.43291
29 (QN/Block) 	Elapsed: 1.375	Loglikelihood: -3.87599e+06	(delta): 6.43389
30 (QN/Block) 	Elapsed: 1.381	Loglikelihood: -3.87599e+06	(delta): 4.49782
31 (QN/Block) 	Elapsed: 1.368	Loglikelihood: -3.87598e+06	(delta): 6.39349
32 (QN/Block) 	Elapsed: 1.364	Loglikelihood: -3.87598e+06	(delta): 4.62656
33 (QN/Block) 	Elapsed: 1.37	Loglikelihood: -3.87598e+06	(delta): 2.65827
34 (QN/Block) 	Elapsed: 1.376	Loglikelihood: -3.87597e+06	(delta): 1.48095
35 (QN/Block) 	Elapsed: 1.383	Loglikelihood: -3.87597e+06	(delta): 0.80259
36 (QN/Block) 	Elapsed: 1.372	Loglikelihood: -3.87597e+06	(delta): 0.844862
37 (QN/Block) 	Elapsed: 1.383	Loglikelihood: -3.87597e+06	(delta): 0.605286
38 (QN/Block) 	Elapsed: 1.321	Loglikelihood: -3.87597e+06	(delta): 0.408054
39 (QN/Block) 	Elapsed: 1.367	Loglikelihood: -3.87597e+06	(delta): 0.748739
40 (QN/Block) 	Elapsed: 1.361	Loglikelihood: -3.87597e+06	(delta): 0.903117
41 (QN/Block) 	Elapsed: 1.364	Loglikelihood: -3.87597e+06	(delta): 1.27501
42 (QN/Block) 	Elapsed: 1.375	Loglikelihood: -3.87597e+06	(delta): 0.892093
43 (QN/Block) 	Elapsed: 1.526	Loglikelihood: -3.87597e+06	(delta): 0.816098
44 (QN/Block) 	Elapsed: 1.52	Loglikelihood: -3.87597e+06	(delta): 0.97362
45 (QN/Block) 	Elapsed: 1.371	Loglikelihood: -3.87596e+06	(delta): 9.1357
46 (QN/Block) 	Elapsed: 1.397	Loglikelihood: -3.87595e+06	(delta): 8.17923
47 (QN/Block) 	Elapsed: 1.522	Loglikelihood: -3.87594e+06	(delta): 4.22469
48 (QN/Block) 	Elapsed: 1.374	Loglikelihood: -3.87594e+06	(delta): 3.15034
49 (QN/Block) 	Elapsed: 1.376	Loglikelihood: -3.87594e+06	(delta): 3.52976
50 (QN/Block) 	Elapsed: 1.374	Loglikelihood: -3.87593e+06	(delta): 3.37623
51 (QN/Block) 	Elapsed: 1.376	Loglikelihood: -3.87593e+06	(delta): 2.74761
52 (QN/Block) 	Elapsed: 1.368	Loglikelihood: -3.87593e+06	(delta): 3.25589
53 (QN/Block) 	Elapsed: 1.36	Loglikelihood: -3.87593e+06	(delta): 1.77214
54 (QN/Block) 	Elapsed: 1.377	Loglikelihood: -3.87592e+06	(delta): 2.07115
55 (QN/Block) 	Elapsed: 1.364	Loglikelihood: -3.87592e+06	(delta): 1.2923
56 (QN/Block) 	Elapsed: 1.365	Loglikelihood: -3.87592e+06	(delta): 5.6903
57 (QN/Block) 	Elapsed: 1.47	Loglikelihood: -3.87591e+06	(delta): 2.56617
58 (QN/Block) 	Elapsed: 1.43	Loglikelihood: -3.87591e+06	(delta): 1.33815
59 (QN/Block) 	Elapsed: 1.386	Loglikelihood: -3.87591e+06	(delta): 0.597436
60 (QN/Block) 	Elapsed: 1.359	Loglikelihood: -3.87591e+06	(delta): 0.730192
61 (QN/Block) 	Elapsed: 1.373	Loglikelihood: -3.87591e+06	(delta): 0.302837
62 (QN/Block) 	Elapsed: 1.371	Loglikelihood: -3.87591e+06	(delta): 0.241142
63 (QN/Block) 	Elapsed: 1.361	Loglikelihood: -3.87591e+06	(delta): 0.154735
64 (QN/Block) 	Elapsed: 1.358	Loglikelihood: -3.87591e+06	(delta): 0.176995
65 (QN/Block) 	Elapsed: 1.524	Loglikelihood: -3.87591e+06	(delta): 0.732051
66 (QN/Block) 	Elapsed: 1.423	Loglikelihood: -3.87591e+06	(delta): 0.196227
67 (QN/Block) 	Elapsed: 1.382	Loglikelihood: -3.87591e+06	(delta): 0.182305
68 (QN/Block) 	Elapsed: 1.371	Loglikelihood: -3.87591e+06	(delta): 0.058538
69 (QN/Block) 	Elapsed: 1.363	Loglikelihood: -3.87591e+06	(delta): 0.160691
70 (QN/Block) 	Elapsed: 1.369	Loglikelihood: -3.87591e+06	(delta): 0.106631
71 (QN/Block) 	Elapsed: 1.373	Loglikelihood: -3.87591e+06	(delta): 0.08288
72 (QN/Block) 	Elapsed: 1.364	Loglikelihood: -3.87591e+06	(delta): 0.0710087
73 (QN/Block) 	Elapsed: 1.369	Loglikelihood: -3.87591e+06	(delta): 0.222533
74 (QN/Block) 	Elapsed: 1.356	Loglikelihood: -3.87591e+06	(delta): 0.170268
75 (QN/Block) 	Elapsed: 1.366	Loglikelihood: -3.87591e+06	(delta): 0.147778
76 (QN/Block) 	Elapsed: 1.367	Loglikelihood: -3.87591e+06	(delta): 0.180897
77 (QN/Block) 	Elapsed: 1.363	Loglikelihood: -3.87591e+06	(delta): 0.105462
78 (QN/Block) 	Elapsed: 1.383	Loglikelihood: -3.87591e+06	(delta): 0.0369873
79 (QN/Block) 	Elapsed: 1.369	Loglikelihood: -3.87591e+06	(delta): 0.186855
80 (QN/Block) 	Elapsed: 1.378	Loglikelihood: -3.87591e+06	(delta): 0.0883381
81 (QN/Block) 	Elapsed: 1.376	Loglikelihood: -3.87591e+06	(delta): 0.240575
82 (QN/Block) 	Elapsed: 1.373	Loglikelihood: -3.87591e+06	(delta): 0.250817
83 (QN/Block) 	Elapsed: 1.366	Loglikelihood: -3.87591e+06	(delta): 0.0857031
84 (QN/Block) 	Elapsed: 1.368	Loglikelihood: -3.87591e+06	(delta): 0.230429
85 (QN/Block) 	Elapsed: 1.359	Loglikelihood: -3.87591e+06	(delta): 0.345386
86 (QN/Block) 	Elapsed: 1.366	Loglikelihood: -3.87591e+06	(delta): 0.208082
87 (QN/Block) 	Elapsed: 1.37	Loglikelihood: -3.87591e+06	(delta): 0.405431
88 (QN/Block) 	Elapsed: 1.366	Loglikelihood: -3.87591e+06	(delta): 0.287571
89 (QN/Block) 	Elapsed: 1.373	Loglikelihood: -3.87591e+06	(delta): 0.59516
90 (QN/Block) 	Elapsed: 1.368	Loglikelihood: -3.87591e+06	(delta): 0.541813
91 (QN/Block) 	Elapsed: 1.364	Loglikelihood: -3.8759e+06	(delta): 1.16621
92 (QN/Block) 	Elapsed: 1.334	Loglikelihood: -3.8759e+06	(delta): 0.78151
93 (QN/Block) 	Elapsed: 1.323	Loglikelihood: -3.8759e+06	(delta): 3.59159
94 (QN/Block) 	Elapsed: 1.341	Loglikelihood: -3.8759e+06	(delta): 4.09641
95 (QN/Block) 	Elapsed: 1.355	Loglikelihood: -3.87589e+06	(delta): 5.93541
96 (QN/Block) 	Elapsed: 1.368	Loglikelihood: -3.87588e+06	(delta): 13.4338
97 (QN/Block) 	Elapsed: 1.526	Loglikelihood: -3.87587e+06	(delta): 5.48666
98 (QN/Block) 	Elapsed: 1.513	Loglikelihood: -3.87586e+06	(delta): 6.92001
99 (QN/Block) 	Elapsed: 1.514	Loglikelihood: -3.87585e+06	(delta): 8.87292
100 (QN/Block) 	Elapsed: 1.363	Loglikelihood: -3.87578e+06	(delta): 71.4296
101 (QN/Block) 	Elapsed: 1.361	Loglikelihood: -3.87568e+06	(delta): 100.875
102 (QN/Block) 	Elapsed: 1.523	Loglikelihood: -3.87548e+06	(delta): 202.37
103 (QN/Block) 	Elapsed: 1.363	Loglikelihood: -3.87504e+06	(delta): 441.481
104 (QN/Block) 	Elapsed: 1.372	Loglikelihood: -3.8742e+06	(delta): 841.965
105 (QN/Block) 	Elapsed: 1.364	Loglikelihood: -3.87371e+06	(delta): 486.702
106 (QN/Block) 	Elapsed: 1.475	Loglikelihood: -3.87287e+06	(delta): 836.739
107 (QN/Block) 	Elapsed: 1.369	Loglikelihood: -3.87221e+06	(delta): 664.28
108 (QN/Block) 	Elapsed: 1.362	Loglikelihood: -3.87154e+06	(delta): 673.704
109 (QN/Block) 	Elapsed: 1.367	Loglikelihood: -3.87122e+06	(delta): 320.016
110 (QN/Block) 	Elapsed: 1.381	Loglikelihood: -3.8711e+06	(delta): 112.432
111 (QN/Block) 	Elapsed: 1.371	Loglikelihood: -3.87106e+06	(delta): 46.4246
112 (QN/Block) 	Elapsed: 1.353	Loglikelihood: -3.87103e+06	(delta): 30.3345
113 (QN/Block) 	Elapsed: 1.36	Loglikelihood: -3.871e+06	(delta): 22.5884
114 (QN/Block) 	Elapsed: 1.365	Loglikelihood: -3.87099e+06	(delta): 15.5777
115 (QN/Block) 	Elapsed: 1.372	Loglikelihood: -3.87098e+06	(delta): 8.48601
116 (QN/Block) 	Elapsed: 1.367	Loglikelihood: -3.87097e+06	(delta): 5.90662
117 (QN/Block) 	Elapsed: 1.366	Loglikelihood: -3.87097e+06	(delta): 2.09606
118 (QN/Block) 	Elapsed: 1.517	Loglikelihood: -3.87097e+06	(delta): 0.614042
119 (QN/Block) 	Elapsed: 1.363	Loglikelihood: -3.87097e+06	(delta): 0.733429
120 (QN/Block) 	Elapsed: 1.364	Loglikelihood: -3.87097e+06	(delta): 0.196192
121 (QN/Block) 	Elapsed: 1.527	Loglikelihood: -3.87097e+06	(delta): 0.0568721
122 (QN/Block) 	Elapsed: 1.386	Loglikelihood: -3.87097e+06	(delta): 0.0918206
123 (QN/Block) 	Elapsed: 1.372	Loglikelihood: -3.87097e+06	(delta): 0.103614
124 (QN/Block) 	Elapsed: 1.376	Loglikelihood: -3.87097e+06	(delta): 0.0595987
125 (QN/Block) 	Elapsed: 1.527	Loglikelihood: -3.87097e+06	(delta): 0.00600171
126 (QN/Block) 	Elapsed: 1.424	Loglikelihood: -3.87097e+06	(delta): 0.00747574
127 (QN/Block) 	Elapsed: 1.528	Loglikelihood: -3.87097e+06	(delta): 0.00116982
128 (QN/Block) 	Elapsed: 1.367	Loglikelihood: -3.87097e+06	(delta): 0.000566161
129 (QN/Block) 	Elapsed: 1.524	Loglikelihood: -3.87097e+06	(delta): 0.000393271
130 (QN/Block) 	Elapsed: 1.376	Loglikelihood: -3.87097e+06	(delta): 0.000509598
131 (QN/Block) 	Elapsed: 1.362	Loglikelihood: -3.87097e+06	(delta): 0.00153027
132 (QN/Block) 	Elapsed: 1.525	Loglikelihood: -3.87097e+06	(delta): 1.73445e-05
Summary: 
Converged in 132 iterations (192.636 sec)
Loglikelihood: -3870969.574284
Fst divergences between estimated populations: 
	Pop0	Pop1	Pop2	Pop3	
Pop0	
Pop1	0.126	
Pop2	0.381	0.369	
Pop3	0.353	0.341	0.182	
Pop4	0.123	0.126	0.379	0.351	
CV error (K=5): 0.78970
Writing output files.
